Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
Design-Patterns-master\Design-Patterns-master\Structural Patterns\Adapter Pattern\src\main\java\com\HotAirBalloonAdapter.java,11,3,0,1,0,4
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Singleton\src\main\java\AirForceOne.java,20,5,4,2,0,11
Design-Patterns-master\Design-Patterns-master\Structural Patterns\Adapter Pattern\src\main\java\Client.java,17,7,3,2,0,12
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Prototype\src\main\java\aircraft\F16.java,18,3,4,1,0,8
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Builder\src\main\java\aircraft\IAircraft.java,9,4,4,1,0,9
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Builder\src\main\java\Client.java,40,9,11,5,0,25
Design-Patterns-master\Design-Patterns-master\Structural Patterns\Adapter Pattern\src\main\java\com\baloon\HotAirBalloon.java,14,8,0,1,0,9
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Builder\src\main\java\aircraft\F16.java,57,18,8,3,0,29
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Prototype\src\main\java\aircraft\IAircraftPrototype.java,0,3,1,1,0,5
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Builder\src\main\java\builders\AircraftBuilder.java,23,12,0,1,0,13
Design-Patterns-master\Design-Patterns-master\Structural Patterns\Adapter Pattern\src\main\java\com\IAircraft.java,0,1,0,1,0,2
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Builder\src\main\java\aircraft\Boeing747.java,53,16,4,3,0,23
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Singleton\src\main\java\Client.java,0,3,2,1,0,6
Design-Patterns-master\Design-Patterns-master\Creational Patterns\Builder\src\main\java\aircraft\IAircraftPrototype.java,0,3,1,1,0,5
