Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
druid-master\druid-master\extensions-core\histogram\src\test\java\org\apache\druid\query\aggregation\histogram\CustomBucketsPostAggregatorTest.java,0,13,0,5,0,18
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\aggregation\any\NumericAnyBufferAggregator.java,0,43,1,9,0,53
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\aggregation\LongMaxBufferAggregator.java,0,11,0,1,0,12
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\join\filter\JoinFilterPreAnalysisKey.java,0,32,0,2,0,34
 druid-master\druid-master\extensions-core\stats\src\main\java\org\apache\druid\query\aggregation\variance\VarianceAggregatorFactory.java,0,133,0,28,0,161
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\context\ResponseContextDeserializer.java,0,18,0,6,0,24
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\lookup\LookupExtractionFn.java,0,47,1,5,0,53
 druid-master\druid-master\processing\src\main\java\org\apache\druid\collections\bitmap\BitSetBitmapFactory.java,0,25,0,4,0,29
 druid-master\druid-master\processing\src\test\java\org\apache\druid\query\aggregation\DoubleMinAggregationTest.java,0,77,0,25,0,102
 druid-master\druid-master\indexing-service\src\main\java\org\apache\druid\indexing\worker\WorkerTaskManager.java,0,212,19,67,0,298
 druid-master\druid-master\extensions-core\lookups-cached-single\src\main\java\org\apache\druid\server\lookup\cache\polling\PollingCacheFactory.java,0,5,0,5,0,10
 druid-master\druid-master\integration-tests\src\test\java\org\apache\druid\tests\indexer\ITSystemTableBatchIndexTaskTest.java,0,12,1,4,0,17
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\data\ColumnarMultiInts.java,0,7,0,5,0,12
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\dimension\ColumnSelectorStrategyFactory.java,0,4,1,3,0,8
 druid-master\druid-master\processing\src\test\java\org\apache\druid\query\topn\TopNQueryTest.java,0,31,0,12,0,43
 druid-master\druid-master\core\src\main\java\org\apache\druid\data\input\impl\FileEntity.java,0,18,0,2,0,20
 druid-master\druid-master\server\src\test\java\org\apache\druid\server\coordinator\duty\EmitClusterStatsAndMetricsTest.java,0,34,2,21,0,57
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\groupby\epinephelinae\IntGrouper.java,0,10,0,1,0,11
 druid-master\druid-master\extensions-core\lookups-cached-global\src\main\java\org\apache\druid\server\lookup\namespace\NamespaceExtractionModule.java,0,14,0,7,0,21
 druid-master\druid-master\processing\src\test\java\org\apache\druid\query\expression\TimestampCeilExprMacroTest.java,0,6,0,2,0,8
 druid-master\druid-master\server\src\main\java\org\apache\druid\segment\realtime\appenderator\AppenderatorPlumberSchool.java,0,21,0,2,0,23
 druid-master\druid-master\services\src\test\java\org\apache\druid\server\AsyncQueryForwardingServletTest.java,0,179,3,67,0,249
 druid-master\druid-master\extensions-core\testing-tools\src\main\java\org\apache\druid\query\sql\SleepOperatorConversion.java,0,14,0,5,0,19
 druid-master\druid-master\server\src\main\java\org\apache\druid\query\lookup\LookupModule.java,0,21,0,9,0,30
 druid-master\druid-master\extensions-contrib\aliyun-oss-extensions\src\main\java\org\apache\druid\storage\aliyun\OssTaskLogs.java,0,60,3,14,0,77
 druid-master\druid-master\sql\src\main\java\org\apache\druid\sql\calcite\external\ExternalDataSource.java,0,46,0,4,0,50
 druid-master\druid-master\core\src\main\java\org\apache\druid\math\expr\vector\ExprEvalLongVector.java,0,9,0,1,0,10
 druid-master\druid-master\server\src\main\java\org\apache\druid\guice\ServerViewModule.java,0,8,0,5,0,13
 druid-master\druid-master\extensions-core\druid-basic-security\src\test\java\org\apache\druid\security\basic\authentication\endpoint\BasicAuthenticatorResourceTest.java,0,54,0,15,0,69
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\topn\Generic2AggPooledTopNScanner.java,0,11,0,5,0,16
 druid-master\druid-master\server\src\test\java\org\apache\druid\server\metrics\TaskCountStatsMonitorTest.java,0,24,0,8,0,32
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\extraction\SubstringDimExtractionFn.java,0,34,0,2,0,36
 druid-master\druid-master\integration-tests\src\main\java\org\apache\druid\testing\clients\SqlResourceTestClient.java,0,7,0,3,0,10
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\filter\TrueDimFilter.java,0,19,1,3,0,23
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\virtual\package-info.java,0,1,0,1,0,2
 druid-master\druid-master\indexing-service\src\main\java\org\apache\druid\indexing\common\task\Tasks.java,0,28,3,11,0,42
 druid-master\druid-master\extensions-core\hdfs-storage\src\main\java\org\apache\druid\storage\hdfs\HdfsDataSegmentPusher.java,0,60,5,22,0,87
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\data\ReadableOffset.java,0,6,0,5,0,11
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\aggregation\post\ExpressionPostAggregator.java,0,87,1,12,0,100
 druid-master\druid-master\extensions-contrib\redis-cache\src\test\java\org\apache\druid\client\cache\RedisCacheConfigTest.java,0,50,3,3,0,56
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\metadata\metadata\ColumnAnalysis.java,0,103,1,5,0,109
 druid-master\druid-master\sql\src\main\java\org\apache\druid\sql\calcite\aggregation\builtin\BuiltinApproxCountDistinctSqlAggregator.java,0,22,0,16,0,38
 druid-master\druid-master\processing\src\test\java\org\apache\druid\query\DefaultQueryMetricsTest.java,0,40,0,12,0,52
 druid-master\druid-master\extensions-contrib\materialized-view-maintenance\src\main\java\org\apache\druid\indexing\materializedview\MaterializedViewTaskConfig.java,0,7,0,1,0,8
 druid-master\druid-master\server\src\test\java\org\apache\druid\server\lookup\cache\LookupCoordinatorManagerTest.java,0,285,9,114,0,408
 druid-master\druid-master\server\src\main\java\org\apache\druid\server\security\PreResponseAuthorizationCheckFilter.java,0,49,4,14,0,67
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\topn\AggregateTopNMetricFirstAlgorithm.java,0,50,1,21,0,72
 druid-master\druid-master\extensions-core\druid-basic-security\src\main\java\org\apache\druid\security\basic\authorization\LDAPRoleProvider.java,0,52,5,20,0,77
 druid-master\druid-master\sql\src\main\java\org\apache\druid\sql\calcite\expression\builtin\MultiValueStringToArrayOperatorConversion.java,0,6,0,3,0,9
 druid-master\druid-master\extensions-core\hdfs-storage\src\main\java\org\apache\hadoop\fs\HadoopFsWrapper.java,0,29,3,12,0,44
 druid-master\druid-master\indexing-service\src\main\java\org\apache\druid\indexing\overlord\TaskRunnerFactory.java,0,2,0,1,0,3
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\BaseDoubleColumnValueSelector.java,0,7,0,6,0,13
 druid-master\druid-master\extensions-core\druid-basic-security\src\main\java\org\apache\druid\security\basic\authorization\db\updater\BasicAuthorizerMetadataStorageUpdater.java,0,28,0,10,0,38
 druid-master\druid-master\core\src\main\java\org\apache\druid\metadata\TaskLookup.java,0,49,0,5,0,54
 druid-master\druid-master\processing\src\test\java\org\apache\druid\segment\virtual\ExpressionSelectorsTest.java,0,172,19,76,0,267
 druid-master\druid-master\sql\src\main\java\org\apache\druid\sql\calcite\expression\builtin\ArrayOffsetOfOperatorConversion.java,0,4,0,1,0,5
 druid-master\druid-master\extendedset\src\main\java\org\apache\druid\extendedset\intset\AbstractIntSet.java,0,9,3,1,0,13
 druid-master\druid-master\server\src\main\java\org\apache\druid\server\metrics\HistoricalMetricsMonitor.java,0,28,0,14,0,42
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\DataSource.java,0,28,0,20,0,48
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\monomorphicprocessing\HotLoopCallee.java,0,9,0,8,0,17
 druid-master\druid-master\server\src\main\java\org\apache\druid\server\security\Access.java,0,23,0,1,0,24
 druid-master\druid-master\extensions-core\stats\src\test\java\org\apache\druid\query\aggregation\teststats\ZtestPostAggregatorTest.java,0,34,0,8,0,42
 druid-master\druid-master\extensions-core\kinesis-indexing-service\src\main\java\org\apache\druid\indexing\kinesis\supervisor\KinesisSupervisorTuningConfig.java,0,137,5,23,0,165
 druid-master\druid-master\indexing-service\src\test\java\org\apache\druid\indexing\overlord\helpers\TaskLogAutoCleanerConfigTest.java,0,16,0,2,0,18
 druid-master\druid-master\indexing-service\src\main\java\org\apache\druid\indexing\overlord\sampler\InputSourceSampler.java,0,55,3,36,0,94
 druid-master\druid-master\processing\src\test\java\org\apache\druid\query\groupby\epinephelinae\BufferHashGrouperTest.java,0,56,0,19,0,75
 druid-master\druid-master\extensions-core\datasketches\src\main\java\org\apache\druid\query\aggregation\datasketches\tuple\ArrayOfDoublesSketchMergeComplexMetricSerde.java,0,21,0,9,0,30
 druid-master\druid-master\server\src\test\java\org\apache\druid\guice\JavaScriptModuleTest.java,0,9,0,4,0,13
 druid-master\druid-master\server\src\main\java\org\apache\druid\discovery\WorkerNodeService.java,0,45,0,1,0,46
 druid-master\druid-master\indexing-service\src\main\java\org\apache\druid\indexing\common\actions\LockReleaseAction.java,0,23,0,1,0,24
 druid-master\druid-master\integration-tests\src\test\java\org\apache\druid\tests\indexer\AbstractOssInputSourceParallelIndexTest.java,0,26,1,10,0,37
 druid-master\druid-master\core\src\main\java\org\apache\druid\java\util\metrics\CgroupCpuSetMonitor.java,0,25,0,3,1,29
 druid-master\druid-master\core\src\main\java\org\apache\druid\java\util\emitter\core\ContentEncoding.java,0,2,0,1,0,3
 druid-master\druid-master\extensions-core\hdfs-storage\src\test\java\org\apache\druid\segment\loading\HdfsFileTimestampVersionFinderTest.java,0,66,16,18,0,100
 druid-master\druid-master\extensions-core\datasketches\src\main\java\org\apache\druid\query\aggregation\datasketches\hll\HllSketchMergeBufferAggregator.java,0,24,0,5,0,29
 druid-master\druid-master\sql\src\test\java\org\apache\druid\sql\avatica\DruidAvaticaHandlerTest.java,0,240,50,91,0,381
 druid-master\druid-master\server\src\main\java\org\apache\druid\segment\realtime\plumber\Plumbers.java,0,12,2,3,0,17
 druid-master\druid-master\indexing-service\src\main\java\org\apache\druid\indexing\overlord\ForkingTaskRunner.java,0,216,13,73,0,302
 druid-master\druid-master\extensions-core\kafka-indexing-service\src\main\java\org\apache\druid\indexing\kafka\KafkaIndexTaskClientFactory.java,0,13,0,3,0,16
 druid-master\druid-master\server\src\main\java\org\apache\druid\metadata\SQLMetadataConnector.java,0,165,4,34,0,203
 druid-master\druid-master\extensions-contrib\momentsketch\src\test\java\org\apache\druid\query\aggregation\momentsketch\aggregator\MomentSketchAggregatorFactoryTest.java,0,14,0,9,0,23
 druid-master\druid-master\processing\src\main\java\org\apache\druid\collections\spatial\search\Bound.java,0,8,0,1,0,9
 druid-master\druid-master\server\src\main\java\org\apache\druid\segment\realtime\appenderator\SegmentsAndCommitMetadata.java,0,30,0,2,0,32
 druid-master\druid-master\core\src\test\java\org\apache\druid\java\util\emitter\core\IntEvent.java,0,6,3,1,0,10
 druid-master\druid-master\server\src\test\java\org\apache\druid\segment\realtime\firehose\SqlFirehoseTest.java,0,39,3,13,0,55
 druid-master\druid-master\extensions-core\histogram\src\test\java\org\apache\druid\query\aggregation\histogram\ApproximateHistogramVectorAggregatorTest.java,0,71,2,26,0,99
 druid-master\druid-master\integration-tests\src\main\java\org\apache\druid\testing\utils\KinesisAdminClient.java,0,66,0,24,0,90
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\incremental\IncrementalIndexAdapter.java,0,74,0,15,0,89
 druid-master\druid-master\indexing-service\src\main\java\org\apache\druid\indexing\common\task\TaskResourceCleaner.java,0,15,2,2,0,19
 druid-master\druid-master\server\src\main\java\org\apache\druid\server\coordinator\duty\NewestSegmentFirstPolicy.java,0,13,0,3,0,16
 druid-master\druid-master\extensions-contrib\tdigestsketch\src\main\java\org\apache\druid\query\aggregation\tdigestsketch\TDigestSketchObjectStrategy.java,0,16,0,2,0,18
 druid-master\druid-master\server\src\main\java\org\apache\druid\segment\realtime\firehose\NoopChatHandlerProvider.java,0,13,0,1,0,14
 druid-master\druid-master\server\src\test\java\org\apache\druid\segment\realtime\FireDepartmentTest.java,0,14,0,9,0,23
 druid-master\druid-master\sql\src\main\java\org\apache\druid\sql\calcite\filtration\BoundValue.java,0,26,0,1,0,27
 druid-master\druid-master\server\src\main\java\org\apache\druid\client\FilteredHttpServerInventoryViewProvider.java,0,11,0,2,0,13
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\filter\FalseValueMatcher.java,0,7,0,1,0,8
 druid-master\druid-master\core\src\test\java\org\apache\druid\common\config\ConfigManagerTest.java,0,58,3,19,3,83
 druid-master\druid-master\extensions-contrib\influx-extensions\target\generated-sources\antlr4\org\apache\druid\data\input\influx\InfluxLineProtocolLexer.java,120,161,3,3,4,171
 druid-master\druid-master\server\src\main\java\org\apache\druid\query\lookup\LookupUtils.java,0,23,2,10,0,35
 druid-master\druid-master\server\src\main\java\org\apache\druid\server\initialization\ExternalStorageAccessSecurityModule.java,0,7,0,2,0,9
 druid-master\druid-master\sql\src\main\java\org\apache\druid\sql\calcite\aggregation\builtin\SimpleSqlAggregator.java,0,9,0,6,0,15
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\virtual\ExpressionMultiValueDimensionSelector.java,0,80,0,9,0,89
 druid-master\druid-master\server\src\main\java\org\apache\druid\segment\loading\LocalDataSegmentPusher.java,0,41,2,13,0,56
 druid-master\druid-master\core\src\main\java\org\apache\druid\java\util\common\concurrent\ExecutorServiceConfig.java,0,12,2,5,0,19
 druid-master\druid-master\processing\src\main\java\org\apache\druid\segment\serde\DictionaryEncodedColumnSupplier.java,0,21,0,2,0,23
 druid-master\druid-master\extensions-core\avro-extensions\src\main\java\org\apache\druid\data\input\avro\AvroExtensionsModule.java,0,19,7,8,0,34
 druid-master\druid-master\core\src\main\java\org\apache\druid\guice\ListProvider.java,0,17,1,1,0,19
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\filter\NotDimFilter.java,0,36,1,11,0,48
 druid-master\druid-master\processing\src\main\java\org\apache\druid\query\groupby\orderby\OrderByColumnSpec.java,0,97,3,10,0,110
 druid-master\druid-master\processing\src\test\java\org\apache\druid\collections\spatial\RTreeTest.java,0,38,0,3,0,41
