Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
dubbo-3.0\dubbo-3.0\dubbo-metadata\dubbo-metadata-processor\src\main\java\org\apache\dubbo\metadata\annotation\processing\rest\AnnotatedMethodParameterProcessor.java,0,8,0,5,0,13
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\support\AccessLogData.java,0,51,1,8,0,60
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\main\java\org\apache\dubbo\remoting\Dispatcher.java,0,2,0,2,0,4
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\rpc\service\ServiceDescriptorInternalCacheTest.java,0,4,0,4,0,8
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\main\java\org\apache\dubbo\remoting\api\MultiplexProtocolConnectionManager.java,27,16,1,6,0,23
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-api\src\main\java\org\apache\dubbo\config\invoker\DelegateProviderMetaDataInvoker.java,39,20,0,2,0,22
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\reference\ReferenceBeanBuilder.java,302,156,0,13,0,169
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\threadpool\concurrent\ScheduledCompletableFuture.java,42,10,3,1,0,14
dubbo-3.0\dubbo-3.0\dubbo-metadata\dubbo-metadata-api\src\test\java\org\apache\dubbo\metadata\store\InterfaceNameTestService2.java,0,2,0,1,0,3
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-netty4\src\test\java\org\apache\dubbo\remoting\transport\netty4\ClientsTest.java,35,9,0,6,0,15
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\test\java\org\apache\dubbo\remoting\buffer\ByteBufferBackedChannelBufferTest.java,16,6,0,3,0,9
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\router\condition\ConditionStateRouterFactory.java,10,6,0,2,0,8
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionAccessor.java,0,9,0,4,0,13
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\main\java\org\apache\dubbo\remoting\buffer\ChannelBuffer.java,0,82,0,6,0,88
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\context\DubboDeployApplicationListener.java,0,36,4,14,0,54
dubbo-3.0\dubbo-3.0\dubbo-filter\dubbo-filter-validation\src\main\java\org\apache\dubbo\validation\Validation.java,0,1,0,2,0,3
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-dubbo\src\test\java\org\apache\dubbo\rpc\protocol\dubbo\support\ProtocolUtils.java,38,27,2,8,0,37
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\test\java\org\apache\dubbo\remoting\buffer\AbstractChannelBufferTest.java,854,143,6,58,0,207
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\extension\injection\impl\InjectExtImpl.java,49,31,0,1,0,32
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\mock\MockInvokersSelectorTest.java,41,17,0,11,0,28
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshAppRuleListenerTest.java,323,159,16,55,0,230
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\extension\activate\impl\ActivateWrapperExt1Wrapper.java,13,6,0,1,0,7
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\test\java\org\apache\dubbo\rpc\RpcInvocationTest.java,24,5,0,4,0,9
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\schema\DubboNamespaceHandlerTest.java,247,88,4,59,0,151
dubbo-3.0\dubbo-3.0\dubbo-metadata\dubbo-metadata-report-nacos\src\main\java\org\apache\dubbo\metadata\store\nacos\NacosConfigServiceWrapper.java,58,63,0,16,0,79
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-grpc\src\test\java\org\apache\dubbo\rpc\protocol\grpc\support\HelloRequestOrBuilder.java,0,4,0,1,0,5
dubbo-3.0\dubbo-3.0\dubbo-monitor\dubbo-monitor-api\src\main\java\org\apache\dubbo\monitor\Monitor.java,0,1,0,2,0,3
dubbo-3.0\dubbo-3.0\dubbo-spring-boot\dubbo-spring-boot-actuator\src\main\java\org\apache\dubbo\spring\boot\actuate\autoconfigure\DubboEndpointAnnotationAutoConfiguration.java,52,16,0,9,0,25
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\config\annotation\Method.java,0,21,0,2,0,23
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\support\wrapper\MockClusterWrapper.java,19,11,0,2,0,13
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\deploy\AbstractDeployer.java,141,44,13,8,0,65
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\test\java\org\apache\dubbo\rpc\stub\StubProxyFactoryTest.java,0,4,0,2,0,6
