Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
file-management-system-master\file-management-system-master\src\main\java\com\fms\service\UploadFileService.java,128,68,1,27,0,96
file-management-system-master\file-management-system-master\src\test\java\com\fms\service\storage\FilePerDateStorageStrategyServiceTest.java,20,12,1,3,0,16
file-management-system-master\file-management-system-master\src\main\java\com\fms\FileManagementSystemApplication.java,7,5,1,1,0,7
file-management-system-master\file-management-system-master\src\main\java\com\fms\model\FileResponseDto.java,10,5,0,1,0,6
file-management-system-master\file-management-system-master\src\main\java\com\fms\config\SpringFoxConfig.java,24,4,2,2,0,8
file-management-system-master\file-management-system-master\src\test\java\com\fms\util\MapHelperTest.java,17,8,3,1,0,12
file-management-system-master\file-management-system-master\src\main\java\com\fms\service\id\InstantFileIdStrategyService.java,9,2,0,2,0,4
file-management-system-master\file-management-system-master\src\main\java\com\fms\model\FileCleanUpAgeType.java,0,5,0,1,0,6
file-management-system-master\file-management-system-master\src\main\java\com\fms\controller\UploadFileController.java,82,50,1,13,0,64
file-management-system-master\file-management-system-master\src\test\java\com\fms\service\id\FileIdServiceFactoryTest.java,26,17,2,7,0,26
file-management-system-master\file-management-system-master\src\main\java\com\fms\service\storage\FilePerYearMonthDayStorageStrategyService.java,57,22,2,6,0,30
file-management-system-master\file-management-system-master\src\test\java\com\fms\service\UploadFileServiceTest.java,3,0,0,1,0,1
file-management-system-master\file-management-system-master\src\main\java\com\fms\service\DownloadFileService.java,32,14,1,4,0,19
file-management-system-master\file-management-system-master\src\test\java\com\fms\util\FileUtilsTest.java,25,7,6,2,0,15
file-management-system-master\file-management-system-master\src\main\java\com\fms\model\FileRequestDto.java,7,2,0,1,0,3
file-management-system-master\file-management-system-master\src\main\java\com\fms\config\MultipartConfig.java,9,4,0,2,0,6
file-management-system-master\file-management-system-master\src\main\java\com\fms\controller\DownloadFileController.java,33,19,2,4,0,25
file-management-system-master\file-management-system-master\src\test\java\com\fms\service\storage\FilePerYearMonthDateStorageStrategyServiceTest.java,20,11,1,3,0,15
file-management-system-master\file-management-system-master\src\main\java\com\fms\scheduler\FileCleanUpScheduler.java,0,11,4,3,0,18
file-management-system-master\file-management-system-master\src\test\java\com\fms\controller\DownloadFileControllerTest.java,0,23,0,7,0,30
file-management-system-master\file-management-system-master\src\main\java\com\fms\service\id\FileIdStrategyService.java,0,1,0,1,0,2
