Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs-rbf\src\main\java\org\apache\hadoop\hdfs\server\federation\store\protocol\impl\pb\GetDisabledNameservicesRequestPBImpl.java,0,9,25,5,0,39
hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\UnknownCryptoProtocolVersionException.java,12,4,0,1,0,5
hadoop-trunk\hadoop-trunk\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\RegexCopyFilter.java,62,10,5,2,0,17
hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-csi\src\main\java\org\apache\hadoop\yarn\csi\translator\GetPluginInfoResponseProtoTranslator.java,0,6,6,1,0,13
hadoop-trunk\hadoop-trunk\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\Globber.java,448,76,7,2,0,85
hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-applications\hadoop-yarn-applications-catalog\hadoop-yarn-applications-catalog-webapp\src\test\java\org\apache\hadoop\yarn\appcatalog\controller\AppStoreControllerTest.java,58,8,5,1,0,14
hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-applications\hadoop-yarn-services\hadoop-yarn-services-core\src\main\java\org\apache\hadoop\yarn\service\component\instance\ComponentInstanceState.java,0,6,0,1,0,7
hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-common\src\main\java\org\apache\hadoop\yarn\server\federation\utils\FederationStateStoreFacade.java,0,51,10,20,0,81
hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-resourcemanager\src\test\java\org\apache\hadoop\yarn\server\resourcemanager\webapp\fairscheduler\FairSchedulerXmlVerifications.java,113,19,0,2,0,21
hadoop-trunk\hadoop-trunk\hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\TestBucketConfiguration.java,204,17,0,8,0,25
hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-tests\src\test\java\org\apache\hadoop\yarn\server\TestMiniYarnClusterNodeUtilization.java,188,45,3,1,0,49
hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\test\java\org\apache\hadoop\yarn\logaggregation\TestAggregatedLogsBlock.java,336,44,4,9,0,57
hadoop-trunk\hadoop-trunk\hadoop-common-project\hadoop-auth\src\test\java\org\apache\hadoop\security\authentication\server\TestAuthenticationFilter.java,1226,152,23,59,0,234
hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-common\src\main\java\org\apache\hadoop\yarn\server\federation\store\records\AddApplicationHomeSubClusterResponse.java,30,2,0,1,0,3
hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\server\balancer\TestBalancerWithMultipleNameNodes.java,0,157,15,2,0,174
