Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\protocol\SendBuilder.java,186,0,0,7,0,7
kafka-trunk\kafka-trunk\streams\upgrade-system-tests-28\src\test\java\org\apache\kafka\streams\tests\StreamsUpgradeTest.java,58,0,2,6,0,8
kafka-trunk\kafka-trunk\connect\runtime\src\main\java\org\apache\kafka\connect\runtime\WorkerConfig.java,443,0,0,149,0,149
kafka-trunk\kafka-trunk\storage\src\generated\java\org\apache\kafka\server\log\remote\metadata\storage\generated\RemoteLogSegmentMetadataUpdateRecordJsonConverter.java,114,0,0,34,0,34
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\clients\admin\ExpireDelegationTokenOptions.java,13,0,0,4,0,4
kafka-trunk\kafka-trunk\metadata\src\test\java\org\apache\kafka\controller\AclControlManagerTest.java,230,0,4,35,0,39
kafka-trunk\kafka-trunk\raft\src\main\java\org\apache\kafka\raft\UnattachedState.java,85,0,1,2,0,3
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\network\KafkaChannel.java,609,0,17,100,0,117
kafka-trunk\kafka-trunk\jmh-benchmarks\build\generated\sources\annotationProcessor\java\main\org\apache\kafka\jmh\consumer\jmh_generated\SubscriptionStateBenchmark_testHasAllFetchPositions_jmhTest.java,0,0,0,102,0,102
kafka-trunk\kafka-trunk\jmh-benchmarks\build\generated\sources\annotationProcessor\java\main\org\apache\kafka\jmh\common\jmh_generated\TopicBenchmark_jmhType_B1.java,0,0,0,18,0,18
kafka-trunk\kafka-trunk\connect\api\src\main\java\org\apache\kafka\connect\errors\DataException.java,14,0,0,1,0,1
kafka-trunk\kafka-trunk\connect\mirror\src\main\java\org\apache\kafka\connect\mirror\DefaultConfigPropertyFilter.java,0,0,1,17,0,18
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\record\Record.java,0,0,0,12,0,12
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\errors\TaskMigratedException.java,13,0,0,6,0,6
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\kstream\internals\KGroupedStreamImpl.java,0,0,0,32,0,32
kafka-trunk\kafka-trunk\metadata\src\generated\java\org\apache\kafka\common\metadata\UserScramCredentialRecordJsonConverter.java,84,0,0,23,0,23
kafka-trunk\kafka-trunk\clients\src\test\java\org\apache\kafka\common\record\BufferSupplierTest.java,21,0,0,2,0,2
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\metrics\MetricConfig.java,77,0,1,2,0,3
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\requests\CreatePartitionsRequest.java,55,0,0,8,0,8
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\state\internals\MergedSortedCacheSessionStoreIterator.java,0,0,0,6,0,6
kafka-trunk\kafka-trunk\clients\src\test\java\org\apache\kafka\test\TestCondition.java,0,0,0,1,0,1
kafka-trunk\kafka-trunk\core\src\generated\java\kafka\internals\generated\GroupMetadataKey.java,147,0,0,11,0,11
kafka-trunk\kafka-trunk\clients\src\test\java\org\apache\kafka\common\security\ssl\mock\TestScramSaslServerProviderCreator.java,13,0,0,2,0,2
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\state\internals\InMemoryWindowBytesStoreSupplier.java,68,0,0,3,0,3
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\quota\ClientQuotaFilterComponent.java,85,0,3,10,0,13
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\state\internals\RocksDBWindowStore.java,0,0,0,28,0,28
kafka-trunk\kafka-trunk\streams\src\test\java\org\apache\kafka\streams\state\internals\RocksDBGenericOptionsToDbOptionsColumnFamilyOptionsAdapterTest.java,0,0,8,40,0,48
kafka-trunk\kafka-trunk\streams\src\main\java\org\apache\kafka\streams\state\internals\BlockBasedTableConfigWithAccessibleCache.java,15,0,0,2,0,2
kafka-trunk\kafka-trunk\clients\src\test\java\org\apache\kafka\common\security\ssl\mock\TestProviderCreator.java,13,0,0,1,0,1
kafka-trunk\kafka-trunk\jmh-benchmarks\src\main\java\org\apache\kafka\jmh\partition\PartitionMakeFollowerBenchmark.java,102,0,2,21,0,23
kafka-trunk\kafka-trunk\metadata\src\main\java\org\apache\kafka\timeline\SnapshottableHashTable.java,0,0,7,65,0,72
kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\protocol\ApiMessage.java,0,0,0,1,0,1
kafka-trunk\kafka-trunk\streams\src\test\java\org\apache\kafka\streams\state\internals\MonotonicProcessorRecordContext.java,30,0,0,3,0,3
kafka-trunk\kafka-trunk\metadata\src\main\java\org\apache\kafka\controller\Controller.java,0,0,0,36,0,36
kafka-trunk\kafka-trunk\streams\src\test\java\org\apache\kafka\streams\integration\TaskAssignorIntegrationTest.java,104,0,7,35,0,42
kafka-trunk\kafka-trunk\clients\src\test\java\org\apache\kafka\common\utils\ByteBufferOutputStreamTest.java,81,0,0,7,0,7
kafka-trunk\kafka-trunk\clients\src\generated\java\org\apache\kafka\common\message\DescribeLogDirsRequestDataJsonConverter.java,82,0,0,19,0,19
