Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\old\Books.java,0,38,1,1,0,40
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\NetworkChangeListener.java,34,10,3,3,0,16
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\old\BookAdapter.java,0,57,7,14,0,78
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\old\MainActivity.java,213,112,17,11,0,140
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\BackgroundTask.java,0,172,6,10,0,188
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\FavoriteAdapter.java,0,56,6,14,0,76
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ModelMainData.java,49,35,2,1,0,38
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ModelRecenzia.java,86,76,4,2,0,82
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ui\dashboard\DashboardViewModel.java,14,5,0,1,0,6
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\Account.java,107,80,13,7,0,100
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\Main.java,31,22,1,1,0,24
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\Login.java,123,53,4,16,0,73
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\AdapterBooks.java,0,56,4,14,0,74
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ISBN.java,0,196,37,43,0,276
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\NewBook.java,140,108,15,13,0,136
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\AdapterReview.java,0,108,11,18,0,137
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ui\main\UserViewModel.java,4,2,0,1,0,3
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\Register.java,156,64,5,17,0,86
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ui\notifications\NotificationsFragment.java,20,11,1,3,0,15
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\Common.java,19,4,3,1,0,8
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\DetailKnihy.java,0,214,26,47,0,287
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\old\MainAdapter.java,0,38,3,9,0,50
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\FavoriteBook.java,0,39,1,2,0,42
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\MainActivityT.java,140,59,6,10,0,75
LittleBooks-master\LittleBooks-master\app\src\androidTest\java\com\example\littlebooks\ExampleInstrumentedTest.java,9,5,1,2,0,8
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\LoadingDialog.java,0,0,0,1,0,1
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\MojeKnihy.java,76,64,10,3,0,77
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\SplashAcitivity.java,27,14,0,2,0,16
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\old\Obsah.java,64,55,9,3,0,67
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ui\home\HomeViewModel.java,14,5,0,1,0,6
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\LoginRegister.java,36,19,1,3,0,23
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\KnihyZkat.java,0,36,6,4,0,46
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ui\dashboard\DashboardFragment.java,106,97,48,5,0,150
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\old\MainActivity2.java,19,7,0,5,0,12
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ui\notifications\NotificationsViewModel.java,14,5,0,1,0,6
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\old\BooksActivity.java,91,74,10,6,0,90
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ui\home\HomeFragment.java,0,185,22,23,0,230
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ViewPagerAdapter.java,22,10,0,1,0,11
LittleBooks-master\LittleBooks-master\app\src\test\java\com\example\littlebooks\ExampleUnitTest.java,7,7,2,2,0,11
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ModelMainDataFavourite.java,59,45,2,2,0,49
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\Settings.java,95,35,2,9,0,46
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\ui\main\UserFragment.java,0,80,9,15,0,104
LittleBooks-master\LittleBooks-master\app\src\main\java\com\example\littlebooks\AdapterOblubene.java,0,53,2,15,0,70
