Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\rpc\model\ServiceMetadata.java,78,48,1,3,2,54
 dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\status\reporter\FrameworkStatusReportService.java,78,48,2,8,1,59
 dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\test\java\org\apache\dubbo\rpc\filter\GenericImplFilterTest.java,78,28,2,15,0,45
 dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\boot\configprops\SpringBootMultipleConfigPropsTest.java,78,35,1,29,0,65
 dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\InterfaceAddressURLTest.java,78,30,0,20,5,55
 dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\support\merger\DefaultProviderURLMergeProcessor.java,78,10,2,13,0,25
 dubbo-3.0\dubbo-3.0\dubbo-plugin\dubbo-qos\src\main\java\org\apache\dubbo\qos\server\handler\QosProcessHandler.java,78,31,0,6,0,37
 dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-api\src\main\java\org\apache\dubbo\config\DubboShutdownHook.java,78,17,4,7,0,28
 dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-injvm\src\main\java\org\apache\dubbo\rpc\protocol\injvm\InjvmProtocol.java,78,26,2,12,0,40
 dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\logger\support\FailsafeLoggerTest.java,78,9,0,6,0,15
 hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocol\EncryptionZone.java,78,36,0,1,4,41
 hadoop-trunk\hadoop-trunk\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\test\java\org\apache\hadoop\mapreduce\v2\app\webapp\AppControllerForTest.java,78,42,1,3,7,53
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-client\src\main\java\org\apache\hadoop\yarn\client\api\SharedCacheClient.java,78,6,1,1,0,8
 hadoop-trunk\hadoop-trunk\hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\contract\localfs\LocalFSContract.java,78,15,1,3,2,21
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-common\src\main\java\org\apache\hadoop\yarn\server\api\protocolrecords\impl\pb\UnRegisterNodeManagerRequestPBImpl.java,78,15,30,4,0,49
 hadoop-trunk\hadoop-trunk\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-nativetask\src\test\java\org\apache\hadoop\mapred\nativetask\combinertest\CombinerTest.java,78,25,1,11,0,37
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-common\src\main\java\org\apache\hadoop\yarn\server\api\protocolrecords\NodeHeartbeatRequest.java,78,37,0,1,0,38
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\test\java\org\apache\hadoop\yarn\server\nodemanager\containermanager\linux\resources\TestResourceHandlerModule.java,78,7,2,2,0,11
 hadoop-trunk\hadoop-trunk\hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\io\retry\TestDefaultRetryPolicy.java,78,3,0,1,1,5
 hadoop-trunk\hadoop-trunk\hadoop-tools\hadoop-federation-balance\src\main\java\org\apache\hadoop\tools\fedbalance\TrashProcedure.java,78,19,2,2,2,25
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-applications\hadoop-yarn-services\hadoop-yarn-services-core\src\test\java\org\apache\hadoop\yarn\service\utils\TestFilterUtils.java,78,5,9,2,1,17
 hadoop-trunk\hadoop-trunk\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\test\java\org\apache\hadoop\mapreduce\task\reduce\TestEventFetcher.java,78,28,4,1,0,33
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\test\java\org\apache\hadoop\yarn\server\nodemanager\api\impl\pb\TestNMProtoUtils.java,78,7,12,7,0,26
