Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 pulsar-master\pulsar-master\tiered-storage\jcloud\src\main\java\org\apache\bookkeeper\mledger\offload\jcloud\impl\BlockAwareSegmentInputStreamImpl.java,0,58,1,23,0,82
pulsar-master\pulsar-master\pulsar-io\core\src\main\java\org\apache\pulsar\io\core\Sink.java,0,3,0,3,0,6
 pulsar-master\pulsar-master\pulsar-broker-common\src\test\java\org\apache\pulsar\bookie\rackawareness\BookieRackAffinityMappingTest.java,0,50,12,35,0,97
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\stats\NamespaceStats.java,100,54,0,11,0,65
 pulsar-master\pulsar-master\pulsar-client-api\src\main\java\org\apache\pulsar\client\api\Messages.java,0,1,0,1,0,2
 pulsar-master\pulsar-master\tests\integration\src\test\java\org\apache\pulsar\tests\integration\proxy\TestProxyWithWebSocket.java,82,29,5,6,0,40
 pulsar-master\pulsar-master\pulsar-client-admin-api\src\main\java\org\apache\pulsar\common\policies\data\FunctionInstanceStats.java,0,2,0,1,0,3
 pulsar-master\pulsar-master\pulsar-io\elastic-search\src\main\java\org\apache\pulsar\io\elasticsearch\client\opensearch\package-info.java,0,1,0,1,0,2
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\service\schema\ProtobufNativeSchemaCompatibilityCheck.java,45,22,1,12,0,35
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\functions\worker\PulsarFunctionE2ESecurityTest.java,752,254,41,166,0,461
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\transaction\buffer\matadata\package-info.java,0,1,0,1,0,2
 pulsar-master\pulsar-master\pulsar-io\elastic-search\src\test\java\org\apache\pulsar\io\elasticsearch\ElasticSearchClientTests.java,303,90,1,44,0,135
 pulsar-master\pulsar-master\pulsar-transaction\coordinator\src\main\java\org\apache\pulsar\transaction\coordinator\impl\InMemTransactionMetadataStore.java,0,30,1,12,0,43
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\broker\transaction\coordinator\TransactionMetaStoreAssignmentTest.java,100,21,1,7,0,29
 pulsar-master\pulsar-master\pulsar-functions\instance\src\main\java\org\apache\pulsar\functions\instance\state\StateManager.java,0,1,0,1,0,2
 pulsar-master\pulsar-master\pulsar-io\hbase\src\main\java\org\apache\pulsar\io\hbase\sink\HbaseGenericRecordSink.java,49,8,0,4,0,12
 pulsar-master\pulsar-master\pulsar-common\src\main\java\org\apache\pulsar\common\policies\data\PersistentOfflineTopicStats.java,81,56,0,5,0,61
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\broker\admin\AdminApiOffloadTest.java,298,85,4,49,0,138
 pulsar-master\pulsar-master\pulsar-functions\instance\src\main\java\org\apache\pulsar\functions\instance\stats\ComponentStatsManager.java,136,70,0,18,0,88
 pulsar-master\pulsar-master\tests\integration\src\test\java\org\apache\pulsar\tests\integration\functions\utils\UploadDownloadCommandGenerator.java,47,31,0,7,0,38
 pulsar-master\pulsar-master\pulsar-sql\presto-pulsar\src\main\java\org\apache\pulsar\sql\presto\decoder\protobufnative\PulsarProtobufNativeRowDecoder.java,42,21,0,12,0,33
 pulsar-master\pulsar-master\pulsar-io\solr\src\test\java\org\apache\pulsar\io\solr\SolrServerUtil.java,63,18,1,6,0,25
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\service\schema\validator\package-info.java,0,0,0,1,0,1
 pulsar-master\pulsar-master\pulsar-client\src\test\java\org\apache\pulsar\client\impl\ConnectionTimeoutTest.java,28,10,1,6,0,17
 pulsar-master\pulsar-master\managed-ledger\src\main\java\org\apache\bookkeeper\mledger\ManagedLedgerFactoryMXBean.java,0,8,0,1,0,9
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\client\impl\BrokerClientIntegrationTest.java,945,212,42,151,0,405
 pulsar-master\pulsar-master\pulsar-io\kafka\src\main\java\org\apache\pulsar\io\kafka\KafkaAbstractSink.java,0,37,0,22,0,59
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\broker\auth\InvalidBrokerConfigForAuthorizationTest.java,29,5,1,5,0,11
 pulsar-master\pulsar-master\pulsar-io\dynamodb\src\main\java\org\apache\pulsar\io\dynamodb\StreamsRecord.java,44,23,1,5,0,29
 pulsar-master\pulsar-master\tests\integration\src\test\java\org\apache\pulsar\tests\integration\backwardscompatibility\PulsarStandaloneTestSuite2_4.java,6,3,1,2,0,6
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\broker\service\NonPersistentTopicE2ETest.java,199,35,0,22,0,57
 pulsar-master\pulsar-master\pulsar-functions\java-examples\src\main\java\org\apache\pulsar\functions\api\examples\UserMetricFunction.java,0,3,0,1,0,4
 pulsar-master\pulsar-master\pulsar-io\kafka\src\test\java\org\apache\pulsar\io\kafka\KafkaBytesSourceTest.java,109,46,4,29,0,79
 pulsar-master\pulsar-master\pulsar-functions\api-java\src\main\java\org\apache\pulsar\functions\api\utils\JavaSerDe.java,34,6,1,1,0,8
 pulsar-master\pulsar-master\pulsar-websocket\src\main\java\org\apache\pulsar\websocket\data\EndOfTopicResponse.java,5,2,0,1,0,3
 pulsar-master\pulsar-master\pulsar-common\src\main\java\org\apache\pulsar\common\policies\data\package-info.java,0,2,0,1,0,3
 pulsar-master\pulsar-master\pulsar-functions\worker\src\test\java\org\apache\pulsar\functions\worker\executor\MockClockTest.java,18,6,0,1,0,7
 pulsar-master\pulsar-master\pulsar-io\flume\src\main\java\org\apache\pulsar\io\flume\node\package-info.java,0,1,0,1,0,2
 pulsar-master\pulsar-master\pulsar-functions\instance\src\main\java\org\apache\pulsar\functions\source\TopicSchema.java,211,122,3,43,0,168
 pulsar-master\pulsar-master\tests\integration\src\test\java\org\apache\pulsar\tests\integration\messaging\NonPersistentTopicMessagingTest.java,43,24,0,9,0,33
 pulsar-master\pulsar-master\tests\integration\src\test\java\org\apache\pulsar\tests\integration\cli\ClusterMetadataTearDownTest.java,163,41,2,20,0,63
 pulsar-master\pulsar-master\pulsar-client\src\test\java\org\apache\pulsar\client\impl\schema\generic\GenericAvroRecordTest.java,21,4,0,3,0,7
 pulsar-master\pulsar-master\pulsar-functions\worker\src\main\java\org\apache\pulsar\functions\worker\rest\FunctionApiResource.java,31,16,0,4,0,20
 pulsar-master\pulsar-master\pulsar-client\src\main\java\org\apache\pulsar\client\util\TimedCompletableFuture.java,13,5,1,1,0,7
 pulsar-master\pulsar-master\pulsar-functions\worker\src\test\java\org\apache\pulsar\functions\worker\FunctionMetaDataManagerTest.java,385,60,0,45,0,105
 pulsar-master\pulsar-master\pulsar-client-api\src\main\java\org\apache\pulsar\client\api\AuthenticationFactory.java,0,19,4,11,0,34
 pulsar-master\pulsar-master\pulsar-io\hdfs2\src\test\java\org\apache\pulsar\io\hdfs2\sink\HdfsSinkConfigTests.java,124,49,1,3,0,53
 pulsar-master\pulsar-master\pulsar-client-admin-api\src\main\java\org\apache\pulsar\common\policies\data\impl\BookieAffinityGroupDataImpl.java,0,22,0,8,0,30
 pulsar-master\pulsar-master\pulsar-client-api\src\main\java\org\apache\pulsar\common\classification\package-info.java,0,1,0,1,0,2
 pulsar-master\pulsar-master\pulsar-proxy\src\test\java\org\apache\pulsar\proxy\server\ProxyAuthenticatedProducerConsumerTest.java,163,48,7,27,0,82
 pulsar-master\pulsar-master\pulsar-common\src\test\java\org\apache\pulsar\common\util\collections\GrowablePriorityLongPairQueueTest.java,345,151,5,22,0,178
 pulsar-master\pulsar-master\pulsar-io\file\src\main\java\org\apache\pulsar\io\file\utils\package-info.java,0,1,0,1,0,2
 pulsar-master\pulsar-master\pulsar-client\src\main\java\org\apache\pulsar\client\impl\KeyBasedBatcherBuilder.java,10,1,0,1,0,2
 pulsar-master\pulsar-master\pulsar-functions\worker\src\test\java\org\apache\pulsar\functions\worker\executor\MockExecutorControllerTest.java,71,17,0,1,0,18
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\client\api\SimpleProducerConsumerTest.java,4289,992,176,653,0,1821
 pulsar-master\pulsar-master\pulsar-functions\instance\src\main\java\org\apache\pulsar\functions\instance\stats\package-info.java,0,0,0,1,0,1
 pulsar-master\pulsar-master\pulsar-proxy\src\test\java\org\apache\pulsar\proxy\server\ProxyConnectionTest.java,15,5,0,5,0,10
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\transaction\pendingack\impl\MLPendingAckStore.java,368,153,8,86,0,247
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\websocket\proxy\ProxyPublishConsumeTlsTest.java,102,22,3,13,0,38
 pulsar-master\pulsar-master\pulsar-broker-common\src\main\java\org\apache\pulsar\broker\authentication\AuthenticationDataSource.java,0,11,2,8,0,21
 pulsar-master\pulsar-master\pulsar-common\src\main\java\org\apache\pulsar\common\util\KeyStoreHolder.java,35,16,0,4,0,20
 pulsar-master\pulsar-master\pulsar-common\src\main\java\org\apache\pulsar\common\policies\data\FunctionInstanceStatsDataBaseImpl.java,27,8,0,4,0,12
 pulsar-master\pulsar-master\pulsar-io\flume\src\main\java\org\apache\pulsar\io\flume\source\AbstractSinkOfFlume.java,9,3,0,1,0,4
 pulsar-master\pulsar-master\pulsar-client\src\test\java\org\apache\pulsar\client\impl\PartitionedProducerImplTest.java,208,75,3,47,0,125
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\service\ConnectionController.java,0,37,0,17,0,54
 pulsar-master\pulsar-master\pulsar-io\core\src\main\java\org\apache\pulsar\io\core\BatchPushSource.java,80,16,0,4,0,20
 pulsar-master\pulsar-master\pulsar-common\src\test\java\org\apache\pulsar\common\policies\impl\MinAvailablePolicyTest.java,11,4,0,1,0,5
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\client\impl\TransactionClientConnectTest.java,166,71,9,43,0,123
 pulsar-master\pulsar-master\pulsar-common\src\test\java\org\apache\pulsar\common\policies\data\BacklogQuotaTest.java,47,7,0,3,0,10
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\loadbalance\impl\ThresholdShedder.java,123,53,1,42,0,96
 pulsar-master\pulsar-master\tiered-storage\jcloud\src\main\java\org\apache\bookkeeper\mledger\offload\jcloud\JCloudLedgerOffloaderFactory.java,23,14,0,10,0,24
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\service\plugin\EntryFilter.java,0,2,0,2,0,4
 pulsar-master\pulsar-master\pulsar-io\twitter\src\main\java\org\apache\pulsar\io\twitter\data\TweetData.java,105,74,0,1,0,75
 pulsar-master\pulsar-master\pulsar-io\dynamodb\src\main\java\org\apache\pulsar\io\dynamodb\StreamsRecordProcessor.java,77,24,2,14,0,40
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\service\schema\exceptions\InvalidSchemaDataException.java,13,5,0,1,0,6
 pulsar-master\pulsar-master\pulsar-websocket\src\main\java\org\apache\pulsar\websocket\service\package-info.java,0,0,0,1,0,1
 pulsar-master\pulsar-master\testmocks\src\main\java\org\apache\zookeeper\MockZooKeeperSession.java,218,105,3,30,0,138
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\schema\SchemaTest.java,1098,245,47,157,0,449
 pulsar-master\pulsar-master\bouncy-castle\bc\src\main\java\org\apache\pulsar\bcloader\BouncyCastleLoader.java,16,3,0,1,0,4
 pulsar-master\pulsar-master\pulsar-client-api\src\main\java\org\apache\pulsar\client\api\package-info.java,0,1,0,1,0,2
 pulsar-master\pulsar-master\pulsar-common\src\main\java\org\apache\pulsar\common\schema\LongSchemaVersion.java,45,11,0,1,0,12
 pulsar-master\pulsar-master\pulsar-functions\instance\src\main\java\org\apache\pulsar\functions\instance\state\PulsarMetadataStateStoreImpl.java,114,47,4,2,0,53
 pulsar-master\pulsar-master\pulsar-client-admin-api\src\main\java\org\apache\pulsar\common\stats\package-info.java,0,2,0,1,0,3
 pulsar-master\pulsar-master\pulsar-io\batch-data-generator\src\main\java\org\apache\pulsar\io\batchdatagenerator\Person.java,82,41,2,2,0,45
 pulsar-master\pulsar-master\pulsar-client\src\test\java\org\apache\pulsar\client\impl\TopicMetadataImplTest.java,10,3,0,1,0,4
 pulsar-master\pulsar-master\pulsar-functions\worker\src\main\java\org\apache\pulsar\functions\worker\MetricsGenerator.java,18,8,0,3,0,11
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\broker\auth\MockAuthenticationProvider.java,41,14,4,4,0,22
 pulsar-master\pulsar-master\pulsar-client-tools\src\main\java\org\apache\pulsar\admin\cli\utils\SchemaExtractor.java,16,7,1,3,0,11
 pulsar-master\pulsar-master\pulsar-io\batch-data-generator\src\main\java\org\apache\pulsar\io\batchdatagenerator\BatchDataGeneratorPushSource.java,50,18,1,4,0,23
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\functions\worker\PulsarFunctionLocalRunTest.java,1041,368,31,180,0,579
 pulsar-master\pulsar-master\pulsar-metadata\src\main\java\org\apache\pulsar\metadata\api\MetadataStore.java,0,17,0,17,0,34
 pulsar-master\pulsar-master\pulsar-metadata\src\test\java\org\apache\pulsar\metadata\bookkeeper\EndToEndTest.java,95,18,1,3,0,22
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\service\nonpersistent\NonPersistentTopic.java,0,339,23,204,0,566
 pulsar-master\pulsar-master\tests\integration\src\test\java\org\apache\pulsar\tests\integration\io\sinks\ElasticSearch8SinkTester.java,16,5,0,2,0,7
 pulsar-master\pulsar-master\pulsar-broker-common\src\test\java\org\apache\pulsar\broker\validator\MultipleListenerValidatorTest.java,86,27,7,15,0,49
 pulsar-master\pulsar-master\pulsar-io\hbase\src\test\java\org\apache\pulsar\io\hbase\sink\HbaseGenericRecordSinkTest.java,122,32,2,10,0,44
 pulsar-master\pulsar-master\pulsar-functions\secrets\src\test\java\org\apache\pulsar\functions\secretsprovider\ClearTextSecretsProviderTest.java,11,3,0,2,0,5
 pulsar-master\pulsar-master\pulsar-client-admin-api\src\main\java\org\apache\pulsar\common\policies\data\SubscriptionAuthMode.java,0,0,0,1,0,1
 pulsar-master\pulsar-master\pulsar-proxy\src\main\java\org\apache\pulsar\proxy\extensions\ProxyExtension.java,0,9,0,9,0,18
 pulsar-master\pulsar-master\pulsar-common\src\main\java\org\apache\pulsar\common\allocator\PulsarByteBufAllocator.java,63,21,3,13,0,37
 pulsar-master\pulsar-master\pulsar-transaction\common\src\main\java\org\apache\pulsar\transaction\impl\common\package-info.java,0,2,0,1,0,3
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\client\impl\MessagePublishThrottlingTest.java,484,150,25,99,0,274
 pulsar-master\pulsar-master\pulsar-client\src\test\java\org\apache\pulsar\client\api\MessagePayloadTest.java,74,18,0,6,0,24
 pulsar-master\pulsar-master\pulsar-functions\api-java\src\main\java\org\apache\pulsar\functions\api\package-info.java,0,2,0,2,0,4
 pulsar-master\pulsar-master\pulsar-client-admin-api\src\main\java\org\apache\pulsar\common\policies\impl\MinAvailablePolicy.java,48,22,0,6,0,28
 pulsar-master\pulsar-master\pulsar-io\kinesis\src\main\java\org\apache\pulsar\io\kinesis\KinesisRecord.java,57,24,1,3,0,28
 pulsar-master\pulsar-master\pulsar-io\hdfs3\src\test\java\org\apache\pulsar\io\hdfs3\sink\AbstractHdfsSinkTest.java,0,56,2,7,0,65
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\package-info.java,0,0,0,1,0,1
 pulsar-master\pulsar-master\pulsar-functions\runtime\src\main\java\org\apache\pulsar\functions\runtime\thread\ThreadRuntimeFactoryConfig.java,30,11,0,3,0,14
 pulsar-master\pulsar-master\pulsar-common\src\main\java\org\apache\pulsar\common\lookup\package-info.java,0,2,0,1,0,3
 pulsar-master\pulsar-master\pulsar-client-api\src\main\java\org\apache\pulsar\client\api\Reader.java,0,45,0,41,0,86
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\broker\service\persistent\PersistentTopicTest.java,217,58,1,44,0,103
 pulsar-master\pulsar-master\pulsar-client-admin-api\src\main\java\org\apache\pulsar\common\partition\PartitionedTopicMetadata.java,30,16,0,3,0,19
 pulsar-master\pulsar-master\pulsar-client-api\src\main\java\org\apache\pulsar\client\api\transaction\TransactionBuilder.java,0,1,0,2,0,3
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\resourcegroup\ResourceUsageTransportManager.java,0,12,5,3,0,20
 pulsar-master\pulsar-master\pulsar-client\src\test\java\org\apache\pulsar\client\impl\ClientCnxRequestTimeoutQueueTest.java,77,15,0,6,0,21
 pulsar-master\pulsar-master\pulsar-client-tools\src\main\java\org\apache\pulsar\admin\cli\CmdResourceQuotas.java,0,35,0,22,0,57
 pulsar-master\pulsar-master\pulsar-broker\src\test\java\org\apache\pulsar\broker\admin\TopicPoliciesTest.java,2921,1094,194,662,0,1950
 pulsar-master\pulsar-master\pulsar-functions\instance\src\main\java\org\apache\pulsar\functions\windowing\DefaultEvictionContext.java,63,30,0,3,0,33
 pulsar-master\pulsar-master\pulsar-broker\src\main\java\org\apache\pulsar\broker\admin\impl\TenantsBase.java,305,112,23,65,0,200
