Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\entities\Renderable.java,34,26,1,1,0,28
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\levels\Map.java,22,12,3,1,0,16
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\GameData.java,9,9,1,1,0,11
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\entities\GameObject.java,40,19,5,1,0,25
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\managers\Renderer.java,35,15,3,2,0,20
 puzzle-game-master\puzzle-game-master\desktop\src\com\jbgames\game\desktop\DesktopLauncher.java,9,9,1,1,0,11
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\PuzzleGame.java,22,5,4,1,0,10
 puzzle-game-master\puzzle-game-master\html\src\com\jbgames\game\client\HtmlLauncher.java,16,6,0,1,0,7
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\entities\TileBuilder.java,39,23,0,1,0,24
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\helpers\Directions.java,0,4,0,1,0,5
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\managers\GameManager.java,33,12,5,1,0,18
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\entities\Tile.java,29,22,2,1,0,25
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\world\World.java,4,1,0,1,0,2
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\entities\Enemy.java,17,10,1,1,0,12
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\helpers\PathFinder.java,137,56,13,3,0,72
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\helpers\AStar.java,126,62,8,11,0,81
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\helpers\Position.java,76,50,8,1,0,59
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\controllers\InputController.java,0,33,1,2,0,36
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\levels\Level.java,112,76,11,5,0,92
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\screens\GameScreen.java,45,9,6,1,0,16
 puzzle-game-master\puzzle-game-master\core\src\com\jbgames\game\entities\Player.java,14,5,2,1,0,8
