Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
rocketmq-develop\rocketmq-develop\openmessaging\src\main\java\io\openmessaging\rocketmq\consumer\PullConsumerImpl.java,145,39,1,13,0,53
rocketmq-develop\rocketmq-develop\broker\src\test\java\org\apache\rocketmq\broker\filter\CommitLogDispatcherCalcBitMapTest.java,160,37,2,10,0,49
rocketmq-develop\rocketmq-develop\common\src\test\java\org\apache\rocketmq\common\MixAllTest.java,82,19,4,6,0,29
rocketmq-develop\rocketmq-develop\broker\src\main\java\org\apache\rocketmq\broker\subscription\SubscriptionGroupManager.java,159,71,2,38,0,111
rocketmq-develop\rocketmq-develop\common\src\main\java\org\apache\rocketmq\common\filter\impl\PolishExpr.java,156,45,8,14,0,67
rocketmq-develop\rocketmq-develop\broker\src\main\java\org\apache\rocketmq\broker\longpolling\NotifyMessageArrivingListener.java,15,15,0,5,0,20
rocketmq-develop\rocketmq-develop\common\src\main\java\org\apache\rocketmq\common\protocol\body\BrokerStatsData.java,33,22,0,1,0,23
rocketmq-develop\rocketmq-develop\namesrv\src\test\java\org\apache\rocketmq\namesrv\processor\ClusterTestRequestProcessorTest.java,63,22,7,9,0,38
rocketmq-develop\rocketmq-develop\remoting\src\main\java\org\apache\rocketmq\remoting\netty\NettyRemotingAbstract.java,569,130,31,89,0,250
rocketmq-develop\rocketmq-develop\store\src\main\java\org\apache\rocketmq\store\SelectMappedBufferResult.java,42,24,0,2,0,26
rocketmq-develop\rocketmq-develop\test\src\main\java\org\apache\rocketmq\test\util\data\collect\DataCollector.java,0,12,0,1,0,13
rocketmq-develop\rocketmq-develop\tools\src\main\java\org\apache\rocketmq\tools\command\CommandUtil.java,115,40,1,31,0,72
rocketmq-develop\rocketmq-develop\common\src\test\java\org\apache\rocketmq\common\filter\FilterAPITest.java,61,11,1,4,0,16
rocketmq-develop\rocketmq-develop\tools\src\main\java\org\apache\rocketmq\tools\command\connection\ConsumerConnectionSubCommand.java,74,18,1,10,0,29
rocketmq-develop\rocketmq-develop\test\src\main\java\org\apache\rocketmq\test\listener\rmq\concurrent\RMQNormalListener.java,46,19,1,5,0,25
rocketmq-develop\rocketmq-develop\namesrv\src\test\java\org\apache\rocketmq\namesrv\routeinfo\RouteInfoManagerBrokerPermTest.java,81,27,2,8,0,37
rocketmq-develop\rocketmq-develop\openmessaging\src\main\java\io\openmessaging\rocketmq\producer\ProducerImpl.java,111,32,5,16,0,53
rocketmq-develop\rocketmq-develop\tools\src\main\java\org\apache\rocketmq\tools\command\broker\BrokerStatusSubCommand.java,76,20,0,11,0,31
rocketmq-develop\rocketmq-develop\common\src\main\java\org\apache\rocketmq\common\protocol\body\KVTable.java,12,7,3,1,0,11
rocketmq-develop\rocketmq-develop\store\src\test\java\org\apache\rocketmq\store\StoreStatsServiceTest.java,81,21,5,11,0,37
rocketmq-develop\rocketmq-develop\acl\src\test\java\org\apache\rocketmq\acl\common\AclSignerTest.java,15,8,0,1,0,9
rocketmq-develop\rocketmq-develop\client\src\main\java\org\apache\rocketmq\client\impl\ClientRemotingProcessor.java,235,75,7,49,0,131
rocketmq-develop\rocketmq-develop\common\src\main\java\org\apache\rocketmq\common\protocol\body\CheckClientRequestBody.java,31,21,0,1,0,22
rocketmq-develop\rocketmq-develop\tools\src\main\java\org\apache\rocketmq\tools\command\message\QueryMsgByIdSubCommand.java,245,29,1,18,0,48
rocketmq-develop\rocketmq-develop\tools\src\main\java\org\apache\rocketmq\tools\command\message\QueryMsgTraceByIdSubCommand.java,121,24,0,11,0,35
rocketmq-develop\rocketmq-develop\common\src\main\java\org\apache\rocketmq\common\filter\ExpressionType.java,49,8,2,4,0,14
rocketmq-develop\rocketmq-develop\broker\src\test\java\org\apache\rocketmq\broker\processor\AbstractSendMessageProcessorTest.java,53,12,4,6,0,22
rocketmq-develop\rocketmq-develop\filter\src\main\java\org\apache\rocketmq\filter\expression\PropertyExpression.java,45,10,0,2,0,12
rocketmq-develop\rocketmq-develop\client\src\main\java\org\apache\rocketmq\client\hook\FilterMessageContext.java,54,36,0,2,0,38
rocketmq-develop\rocketmq-develop\common\src\main\java\org\apache\rocketmq\common\protocol\body\GetConsumerStatusBody.java,22,17,0,4,0,21
rocketmq-develop\rocketmq-develop\test\src\main\java\org\apache\rocketmq\test\util\data\collect\impl\ListDataCollectorImpl.java,70,33,1,1,0,35
rocketmq-develop\rocketmq-develop\client\src\main\java\org\apache\rocketmq\client\trace\TraceContext.java,112,74,1,2,0,77
rocketmq-develop\rocketmq-develop\common\src\main\java\org\apache\rocketmq\common\protocol\header\UpdateConsumerOffsetRequestHeader.java,47,29,1,2,0,32
rocketmq-develop\rocketmq-develop\store\src\main\java\org\apache\rocketmq\store\ha\HAService.java,584,118,25,47,0,190
rocketmq-develop\rocketmq-develop\common\src\main\java\org\apache\rocketmq\common\protocol\header\EndTransactionResponseHeader.java,9,1,1,2,0,4
rocketmq-develop\rocketmq-develop\store\src\main\java\org\apache\rocketmq\store\AppendMessageCallback.java,0,26,2,5,0,33
rocketmq-develop\rocketmq-develop\client\src\test\java\org\apache\rocketmq\client\consumer\store\RemoteBrokerOffsetStoreTest.java,93,58,3,29,0,90
rocketmq-develop\rocketmq-develop\test\src\main\java\org\apache\rocketmq\test\util\data\collect\DataFilter.java,0,0,0,1,0,1
