Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 shardingsphere-master\shardingsphere-master\shardingsphere-mode\shardingsphere-mode-type\shardingsphere-cluster-mode\shardingsphere-cluster-mode-core\src\test\java\org\apache\shardingsphere\mode\manager\cluster\coordinator\registry\metadata\watcher\MetaDataChangedWatcherTest.java,0,27,0,15,0,42
shardingsphere-master\shardingsphere-master\shardingsphere-distsql\shardingsphere-distsql-statement\src\main\java\org\apache\shardingsphere\distsql\parser\statement\ral\common\updatable\DiscardDistSQLStatement.java,0,0,0,2,0,2
 shardingsphere-master\shardingsphere-master\shardingsphere-test\shardingsphere-parser-test\src\main\java\org\apache\shardingsphere\test\sql\parser\parameterized\jaxb\cases\domain\statement\dcl\AlterLoginStatementTestCase.java,0,3,0,4,0,7
 shardingsphere-master\shardingsphere-master\shardingsphere-test\shardingsphere-parser-test\src\main\java\org\apache\shardingsphere\test\sql\parser\parameterized\jaxb\cases\domain\segment\impl\insert\ExpectedInsertColumnsClause.java,0,4,0,5,0,9
 shardingsphere-master\shardingsphere-master\shardingsphere-proxy\shardingsphere-proxy-backend\src\test\java\org\apache\shardingsphere\proxy\backend\text\data\impl\BroadcastDatabaseBackendHandlerTest.java,0,34,2,20,0,56
 shardingsphere-master\shardingsphere-master\shardingsphere-infra\shardingsphere-infra-common\src\test\java\org\apache\shardingsphere\infra\datasource\props\synonym\ConnectionPropertySynonymsTest.java,0,26,0,9,0,35
 shardingsphere-master\shardingsphere-master\shardingsphere-test\shardingsphere-parser-test\src\main\java\org\apache\shardingsphere\test\sql\parser\parameterized\jaxb\distsql\loader\DistSQLCasesLoader.java,0,12,0,12,0,24
 shardingsphere-master\shardingsphere-master\shardingsphere-db-protocol\shardingsphere-db-protocol-mysql\src\test\java\org\apache\shardingsphere\db\protocol\mysql\packet\generic\MySQLEofPacketTest.java,0,15,0,5,0,20
 shardingsphere-master\shardingsphere-master\examples\shardingsphere-example-generator\src\main\java\org\apache\shardingsphere\example\generator\core\ExampleGenerator.java,0,24,1,11,0,36
 shardingsphere-master\shardingsphere-master\shardingsphere-sql-parser\shardingsphere-sql-parser-statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\mysql\dal\MySQLShowVariablesStatement.java,0,4,0,6,1,11
 shardingsphere-master\shardingsphere-master\shardingsphere-kernel\shardingsphere-data-pipeline\shardingsphere-data-pipeline-dialect\shardingsphere-data-pipeline-mysql\src\main\java\org\apache\shardingsphere\data\pipeline\mysql\ingest\binlog\event\AbstractBinlogEvent.java,11,9,1,1,0,11
