Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\config\group\openapi\EndpointGroupingRule4Openapi.java,92,40,0,18,0,58
 skywalking-master\skywalking-master\oap-server\server-storage-plugin\storage-influxdb-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\influxdb\base\MetricsDAO.java,115,45,0,31,0,76
skywalking-master\skywalking-master\test\e2e-v2\java-test-service\e2e-service-consumer\src\main\java\org\apache\skywalking\e2e\Service1Application.java,6,3,1,1,0,5
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\storage\query\IMetricsQueryDAO.java,0,43,4,13,0,60
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\config\group\EndpointNameGroupingRuleWatcher.java,31,10,1,3,0,14
 skywalking-master\skywalking-master\oap-server\exporter\src\main\java\org\apache\skywalking\oap\server\exporter\provider\grpc\GRPCExporter.java,0,50,13,23,0,86
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\analysis\MetricsExtension.java,0,5,0,6,0,11
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\analysis\meter\function\HistogramFunction.java,145,33,3,12,0,48
 skywalking-master\skywalking-master\oap-server\server-alarm-plugin\src\main\java\org\apache\skywalking\oap\server\core\alarm\provider\expression\Expression.java,47,29,1,3,0,33
 skywalking-master\skywalking-master\oap-server\server-query-plugin\query-graphql-plugin\src\main\java\org\apache\skywalking\oap\query\graphql\type\BatchMetricConditions.java,5,3,0,1,0,4
 skywalking-master\skywalking-master\oap-server\server-core\src\test\java\org\apache\skywalking\oap\server\core\analysis\metrics\CountMetricsTest.java,65,19,1,1,0,21
 skywalking-master\skywalking-master\oap-server\server-library\library-module\src\main\java\org\apache\skywalking\oap\server\library\module\ModuleConfig.java,3,0,1,1,0,2
 skywalking-master\skywalking-master\oap-server\server-receiver-plugin\envoy-metrics-receiver-plugin\src\main\java\org\apache\skywalking\oap\server\receiver\envoy\EnvoyMetricReceiverModule.java,13,4,0,1,0,5
 skywalking-master\skywalking-master\oap-server\server-storage-plugin\storage-influxdb-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\influxdb\query\AggregationQuery.java,70,20,0,13,0,33
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\CoreModuleConfig.java,0,62,0,15,0,77
 skywalking-master\skywalking-master\oap-server\server-query-plugin\query-graphql-plugin\src\main\java\org\apache\skywalking\oap\query\graphql\type\TopNRecordsCondition.java,8,5,0,1,0,6
 skywalking-master\skywalking-master\oap-server\server-core\src\test\java\org\apache\skywalking\oap\server\core\analysis\metrics\expression\NotContainMatchTest.java,12,4,0,3,0,7
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\cache\ProfileTaskCache.java,93,41,2,14,0,57
 skywalking-master\skywalking-master\oap-server\server-alarm-plugin\src\test\java\org\apache\skywalking\oap\server\core\alarm\provider\grpc\AlarmMockReceiver.java,43,14,2,4,0,20
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\analysis\metrics\expression\StringMatch.java,19,8,0,2,0,10
 skywalking-master\skywalking-master\oap-server\server-receiver-plugin\otel-receiver-plugin\src\main\java\org\apache\skywalking\oap\server\receiver\otel\Handler.java,0,10,0,7,0,17
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\analysis\manual\endpoint\EndpointTraffic.java,86,20,1,7,0,28
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\worker\WorkerInstancesService.java,0,15,1,7,0,23
 skywalking-master\skywalking-master\oap-server\server-storage-plugin\storage-zipkin-elasticsearch-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\zipkin\ZipkinSpanRecordDispatcher.java,24,3,0,3,0,6
 skywalking-master\skywalking-master\oap-server\analyzer\meter-analyzer\src\main\java\org\apache\skywalking\oap\meter\analyzer\dsl\EntityDescription\EndpointEntityDescription.java,13,8,1,2,0,11
 skywalking-master\skywalking-master\oap-server\server-fetcher-plugin\prometheus-fetcher-plugin\src\main\java\org\apache\skywalking\oap\server\fetcher\prometheus\http\HTTPClient.java,47,11,1,7,0,19
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\analysis\manual\relation\service\ServiceRelationClientSideMetrics.java,123,37,1,17,0,55
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\query\PointOfTime.java,20,7,0,1,0,8
 skywalking-master\skywalking-master\oap-server\server-receiver-plugin\configuration-discovery-receiver-plugin\src\main\java\org\apache\skywalking\oap\server\recevier\configuration\discovery\ConfigurationDiscoveryModuleConfig.java,10,4,0,3,0,7
 skywalking-master\skywalking-master\oap-server\server-storage-plugin\storage-jdbc-hikaricp-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\jdbc\h2\dao\H2AggregationQueryDAO.java,59,15,0,7,0,22
 skywalking-master\skywalking-master\oap-server\server-library\library-module\src\test\java\org\apache\skywalking\oap\server\library\module\ModuleAProviderConfig.java,7,4,0,1,4,9
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\query\AggregationQueryService.java,69,30,1,23,0,54
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\storage\cache\INetworkAddressAliasDAO.java,0,1,0,2,0,3
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\worker\AbstractWorker.java,15,8,1,3,0,12
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\query\type\Thermodynamic.java,18,11,0,1,0,12
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\analysis\FunctionCategory.java,0,11,2,6,0,19
 skywalking-master\skywalking-master\oap-server\server-storage-plugin\storage-jdbc-hikaricp-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\jdbc\h2\dao\H2MetricsDAO.java,32,23,0,9,0,32
 skywalking-master\skywalking-master\oap-server\server-receiver-plugin\envoy-metrics-receiver-plugin\src\main\java\org\apache\skywalking\oap\server\receiver\envoy\als\mx\ServiceMetaInfoAdapter.java,69,13,1,14,0,28
 skywalking-master\skywalking-master\oap-server\analyzer\event-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\event\listener\EventAnalyzerListenerFactoryManager.java,0,2,0,1,0,3
 skywalking-master\skywalking-master\oap-server\server-core\src\test\java\org\apache\skywalking\oap\server\core\analysis\ApdexThresholdConfigTest.java,49,23,0,4,0,27
 skywalking-master\skywalking-master\oap-server\server-receiver-plugin\skywalking-browser-receiver-plugin\src\main\java\org\apache\skywalking\oap\server\receiver\browser\provider\handler\grpc\BrowserPerfServiceHandlerCompat.java,0,6,0,5,0,11
 skywalking-master\skywalking-master\oap-server\server-storage-plugin\storage-influxdb-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\influxdb\query\MetadataQuery.java,232,56,3,38,0,97
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\storage\annotation\MultipleQueryUnifiedIndex.java,0,1,0,1,0,2
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\analysis\worker\MetricsPersistentWorker.java,320,125,11,55,0,191
 skywalking-master\skywalking-master\oap-server\server-library\library-elasticsearch-client\src\main\java\org\apache\skywalking\library\elasticsearch\response\search\SearchHits.java,0,5,0,3,2,10
 skywalking-master\skywalking-master\oap-server\server-library\library-elasticsearch-client\src\main\java\org\apache\skywalking\library\elasticsearch\requests\factory\TemplateFactory.java,0,12,0,2,0,14
 skywalking-master\skywalking-master\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\analysis\metrics\annotation\FilterMatcher.java,0,4,0,5,0,9
 skywalking-master\skywalking-master\oap-server\server-library\library-datacarrier-queue\src\test\java\org\apache\skywalking\oap\server\library\datacarrier\partition\ProducerThreadPartitionerTest.java,11,10,0,5,0,15
 skywalking-master\skywalking-master\oap-server\server-configuration\configuration-api\src\main\java\org\apache\skywalking\oap\server\configuration\api\DynamicConfigurationService.java,0,1,0,1,0,2
 skywalking-master\skywalking-master\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\parser\ISegmentParserService.java,0,1,0,1,0,2
 skywalking-master\skywalking-master\oap-server\server-library\library-module\src\test\java\org\apache\skywalking\oap\server\library\module\ModuleAProvider.java,41,8,2,3,0,13
 skywalking-master\skywalking-master\oap-server\server-storage-plugin\storage-influxdb-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\influxdb\base\NoneStreamDAO.java,24,15,0,7,0,22
