Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\cli\DelQuotaCommand.java,154,0,9,2,0,11
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\common\BCFKSFileLoaderTest.java,161,0,0,19,0,19
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\client\ZKClientConfig.java,115,0,0,23,0,23
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\server\auth\SaslServerCallbackHandler.java,119,0,2,20,0,22
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOpsTest.java,234,0,22,2,0,24
zookeeper-master\zookeeper-master\zookeeper-contrib\zookeeper-contrib-zooinspector\src\main\java\org\apache\zookeeper\inspector\manager\ZooInspectorNodeTreeManager.java,20,0,2,1,0,3
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\cli\CommandFactoryTest.java,13,0,0,1,0,1
zookeeper-master\zookeeper-master\zookeeper-contrib\zookeeper-contrib-zooinspector\src\main\java\org\apache\zookeeper\inspector\gui\Toolbar.java,66,0,1,4,0,5
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\SessionUpgradeQuorumTest.java,0,0,26,30,0,56
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\test\ObserverMasterTestBase.java,85,0,10,11,0,21
zookeeper-master\zookeeper-master\zookeeper-jute\src\main\java\org\apache\jute\compiler\CGenerator.java,0,0,6,26,0,32
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\test\AuthFailX509AuthenticationProvider.java,23,0,0,5,0,5
zookeeper-master\zookeeper-master\zookeeper-it\target\generated-sources\annotations\org\apache\zookeeper\server\watch\generated\WatchBench_TriggerSparseWatchState_jmhType_B2.java,21,0,10,8,0,18
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\server\auth\IPAuthenticationProvider.java,108,0,7,2,0,9
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\server\admin\CommandBase.java,55,0,0,3,0,3
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\server\CreateTTLTest.java,219,0,72,41,0,113
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\auth\KerberosTestUtils.java,118,0,3,9,0,12
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\Quotas.java,62,0,1,1,0,2
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\FuzzySnapshotRelatedTest.java,495,0,20,36,0,56
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\server\util\BitMapTest.java,51,0,4,1,0,5
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\server\ZooKeeperServerMain.java,238,0,3,21,0,24
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\common\SecretUtilsTest.java,40,0,3,7,0,10
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\server\persistence\EmptySnapshotTest.java,46,0,2,8,0,10
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\server\quorum\ObserverMaster.java,479,0,37,48,0,85
zookeeper-master\zookeeper-master\zookeeper-it\src\main\java\org\apache\zookeeper\test\system\SimpleSysTest.java,131,0,12,11,0,23
zookeeper-master\zookeeper-master\zookeeper-contrib\zookeeper-contrib-rest\src\main\java\org\apache\zookeeper\server\jersey\cfg\HostPortSet.java,29,0,0,1,0,1
zookeeper-master\zookeeper-master\zookeeper-contrib\zookeeper-contrib-zooinspector\src\main\java\org\apache\zookeeper\inspector\manager\ZooInspectorNodeManager.java,0,0,1,1,0,2
zookeeper-master\zookeeper-master\zookeeper-server\src\main\java\org\apache\zookeeper\metrics\Summary.java,0,0,0,3,0,3
zookeeper-master\zookeeper-master\zookeeper-contrib\zookeeper-contrib-rest\src\test\java\org\apache\zookeeper\server\jersey\DeleteTest.java,50,0,6,2,0,8
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\server\util\RequestPathMetricsCollectorTest.java,412,0,28,97,0,125
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\server\NettyServerCnxnTest.java,0,0,22,52,0,74
zookeeper-master\zookeeper-master\zookeeper-server\src\test\java\org\apache\zookeeper\test\SaslKerberosAuthOverSSLTest.java,196,0,2,32,0,34
